Year,CoC Number,CoC Name,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals
2008,MI-505,Flint/Genesee County CoC,245.0,194.0,33.0,227.0,18.0,129.0,99.0,20.0,119.0,10.0,116.0,95.0,13.0,108.0,8.0,40.0,32.0,5.0,37.0,3.0,26.0,23.0,3.0
2008,MI-506,"Grand Rapids, Wyoming/Kent County CoC",794.0,329.0,423.0,752.0,42.0,407.0,220.0,151.0,371.0,36.0,387.0,109.0,272.0,381.0,6.0,132.0,33.0,96.0,129.0,3.0,109.0,73.0,36.0
2008,MI-507,"Portage, Kalamazoo City & County CoC",862.0,499.0,284.0,783.0,79.0,276.0,204.0,29.0,233.0,43.0,586.0,295.0,255.0,550.0,36.0,148.0,77.0,57.0,134.0,14.0,70.0,70.0,0.0
2008,MI-508,"Lansing, East Lansing/Ingham County CoC",408.0,291.0,100.0,391.0,17.0,205.0,127.0,61.0,188.0,17.0,203.0,164.0,39.0,203.0,0.0,77.0,60.0,17.0,77.0,0.0,122.0,105.0,17.0
2008,MI-509,Washtenaw County CoC,413.0,239.0,118.0,357.0,56.0,285.0,168.0,61.0,229.0,56.0,128.0,71.0,57.0,128.0,0.0,39.0,21.0,18.0,39.0,0.0,85.0,48.0,37.0
2008,MI-510,Saginaw City & County CoC,361.0,117.0,157.0,274.0,87.0,237.0,85.0,93.0,178.0,59.0,124.0,32.0,64.0,96.0,28.0,43.0,14.0,20.0,34.0,9.0,57.0,56.0,1.0
2008,MI-511,Lenawee County CoC,93.0,74.0,11.0,85.0,8.0,45.0,42.0,1.0,43.0,2.0,48.0,32.0,10.0,42.0,6.0,16.0,10.0,4.0,14.0,2.0,20.0,19.0,1.0
2008,MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",241.0,98.0,118.0,216.0,25.0,165.0,80.0,60.0,140.0,25.0,76.0,18.0,58.0,76.0,0.0,26.0,6.0,20.0,26.0,0.0,55.0,36.0,19.0
2008,MI-514,Battle Creek/Calhoun County CoC,274.0,111.0,53.0,164.0,110.0,193.0,53.0,38.0,91.0,102.0,81.0,58.0,15.0,73.0,8.0,27.0,20.0,3.0,23.0,4.0,46.0,46.0,0.0
2008,MI-515,Monroe City & County CoC,142.0,84.0,47.0,131.0,11.0,109.0,51.0,47.0,98.0,11.0,33.0,33.0,0.0,33.0,0.0,12.0,12.0,0.0,12.0,0.0,16.0,6.0,10.0
2008,MI-516,"Norton Shores, Muskegon City & County CoC",351.0,76.0,95.0,171.0,180.0,113.0,54.0,34.0,88.0,25.0,238.0,22.0,61.0,83.0,155.0,76.0,11.0,18.0,29.0,47.0,16.0,9.0,7.0
2008,MI-517,Jackson City & County CoC,414.0,109.0,235.0,344.0,70.0,217.0,74.0,87.0,161.0,56.0,197.0,35.0,148.0,183.0,14.0,69.0,13.0,51.0,64.0,5.0,2.0,1.0,1.0
2008,MI-518,Livingston County CoC,63.0,23.0,35.0,58.0,5.0,25.0,15.0,5.0,20.0,5.0,38.0,8.0,30.0,38.0,0.0,13.0,3.0,10.0,13.0,0.0,4.0,3.0,1.0
2008,MI-519,Holland/Ottawa County CoC,291.0,93.0,198.0,291.0,0.0,120.0,65.0,55.0,120.0,0.0,171.0,28.0,143.0,171.0,0.0,46.0,9.0,37.0,46.0,0.0,6.0,6.0,0.0
2008,MI-523,Eaton County CoC,197.0,46.0,59.0,105.0,92.0,37.0,1.0,1.0,2.0,35.0,160.0,45.0,58.0,103.0,57.0,43.0,13.0,13.0,26.0,17.0,3.0,2.0,1.0
2008,MN-500,Minneapolis/Hennepin County CoC,3369.0,1777.0,1036.0,2813.0,556.0,1670.0,844.0,306.0,1150.0,520.0,1699.0,933.0,730.0,1663.0,36.0,529.0,257.0,260.0,517.0,12.0,905.0,668.0,237.0
2008,MN-501,Saint Paul/Ramsey County CoC,1294.0,496.0,674.0,1170.0,124.0,618.0,315.0,188.0,503.0,115.0,676.0,181.0,486.0,667.0,9.0,216.0,66.0,147.0,213.0,3.0,240.0,189.0,51.0
2008,MN-502,Rochester/Southeast Minnesota CoC,446.0,154.0,259.0,413.0,33.0,143.0,87.0,40.0,127.0,16.0,303.0,67.0,219.0,286.0,17.0,91.0,23.0,61.0,84.0,7.0,32.0,26.0,6.0
2008,MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",800.0,130.0,534.0,664.0,136.0,141.0,24.0,71.0,95.0,46.0,659.0,106.0,463.0,569.0,90.0,210.0,35.0,151.0,186.0,24.0,38.0,18.0,20.0
2008,MN-504,Northeast Minnesota CoC,230.0,32.0,82.0,114.0,116.0,98.0,21.0,17.0,38.0,60.0,132.0,11.0,65.0,76.0,56.0,40.0,4.0,18.0,22.0,18.0,24.0,4.0,20.0
2008,MN-505,St. Cloud/Central Minnesota CoC,389.0,201.0,112.0,313.0,76.0,187.0,104.0,40.0,144.0,43.0,202.0,97.0,72.0,169.0,33.0,71.0,34.0,26.0,60.0,11.0,69.0,33.0,36.0
2008,MN-506,Northwest Minnesota CoC,230.0,66.0,133.0,199.0,31.0,75.0,28.0,24.0,52.0,23.0,155.0,38.0,109.0,147.0,8.0,57.0,16.0,38.0,54.0,3.0,39.0,28.0,11.0
2008,MN-508,Moorhead/West Central Minnesota CoC,242.0,87.0,78.0,165.0,77.0,144.0,50.0,25.0,75.0,69.0,98.0,37.0,53.0,90.0,8.0,35.0,10.0,21.0,31.0,4.0,82.0,49.0,33.0
2008,MN-509,Duluth/St.Louis County CoC,501.0,82.0,212.0,294.0,207.0,270.0,56.0,49.0,105.0,165.0,231.0,26.0,163.0,189.0,42.0,75.0,9.0,54.0,63.0,12.0,105.0,35.0,70.0
2008,MN-511,Southwest Minnesota CoC,143.0,76.0,49.0,125.0,18.0,42.0,15.0,13.0,28.0,14.0,101.0,61.0,36.0,97.0,4.0,29.0,19.0,9.0,28.0,1.0,3.0,2.0,1.0
2008,MO-500,St. Louis County CoC,458.0,263.0,133.0,396.0,62.0,115.0,46.0,18.0,64.0,51.0,343.0,217.0,115.0,332.0,11.0,107.0,68.0,36.0,104.0,3.0,59.0,29.0,30.0
2008,MO-501,St.Louis City CoC,1386.0,627.0,546.0,1173.0,213.0,800.0,443.0,144.0,587.0,213.0,586.0,184.0,402.0,586.0,0.0,196.0,77.0,119.0,196.0,0.0,258.0,238.0,20.0
