CoC Number,CoC Name,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Year
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",526.0,212.0,195.0,407.0,119.0,208.0,113.0,51.0,164.0,44.0,318.0,99.0,144.0,243.0,75.0,96.0,25.0,53.0,78.0,18.0,52.0,42.0,10.0,2007
PA-505,Chester County CoC,387.0,121.0,179.0,300.0,87.0,178.0,76.0,23.0,99.0,79.0,209.0,45.0,156.0,201.0,8.0,75.0,16.0,57.0,73.0,2.0,48.0,48.0,0.0,2007
PA-506,Reading/Berks County CoC,739.0,436.0,245.0,681.0,58.0,297.0,164.0,75.0,239.0,58.0,442.0,272.0,170.0,442.0,0.0,152.0,93.0,59.0,152.0,0.0,79.0,51.0,28.0,2007
PA-508,Scranton/Lackawanna County CoC,222.0,65.0,137.0,202.0,20.0,91.0,42.0,37.0,79.0,12.0,131.0,23.0,100.0,123.0,8.0,47.0,9.0,36.0,45.0,2.0,31.0,25.0,6.0,2007
PA-509,Eastern Pennsylvania CoC,1662.0,643.0,906.0,1549.0,113.0,749.0,344.0,312.0,656.0,93.0,913.0,299.0,594.0,893.0,20.0,303.0,101.0,196.0,297.0,6.0,151.0,102.0,49.0,2007
PA-510,Lancaster City & County CoC,589.0,103.0,446.0,549.0,40.0,325.0,72.0,217.0,289.0,36.0,264.0,31.0,229.0,260.0,4.0,98.0,12.0,85.0,97.0,1.0,42.0,32.0,10.0,2007
PA-511,"Bristol, Bensalem/Bucks County CoC",262.0,122.0,132.0,254.0,8.0,143.0,55.0,80.0,135.0,8.0,119.0,67.0,52.0,119.0,0.0,39.0,21.0,18.0,39.0,0.0,8.0,8.0,0.0,2007
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",1380.0,297.0,835.0,1132.0,248.0,901.0,223.0,432.0,655.0,246.0,479.0,74.0,403.0,477.0,2.0,177.0,27.0,149.0,176.0,1.0,143.0,86.0,57.0,2007
PA-601,Western Pennsylvania CoC,911.0,393.0,451.0,844.0,67.0,459.0,242.0,162.0,404.0,55.0,452.0,151.0,289.0,440.0,12.0,157.0,55.0,97.0,152.0,5.0,77.0,61.0,16.0,2007
PA-603,Beaver County CoC,213.0,12.0,119.0,131.0,82.0,189.0,9.0,101.0,110.0,79.0,24.0,3.0,18.0,21.0,3.0,8.0,1.0,6.0,7.0,1.0,33.0,1.0,32.0,2007
PA-605,Erie City & County CoC,393.0,162.0,155.0,317.0,76.0,221.0,110.0,79.0,189.0,32.0,172.0,52.0,76.0,128.0,44.0,58.0,12.0,30.0,42.0,16.0,61.0,57.0,4.0,2007
PR-502,Puerto Rico Balance of Commonwealth CoC,2004.0,248.0,318.0,566.0,1438.0,1909.0,214.0,281.0,495.0,1414.0,95.0,34.0,37.0,71.0,24.0,47.0,17.0,18.0,35.0,12.0,1475.0,126.0,1349.0,2007
PR-503,South-Southeast Puerto Rico CoC,2305.0,298.0,504.0,802.0,1503.0,2005.0,223.0,432.0,655.0,1350.0,300.0,75.0,72.0,147.0,153.0,69.0,22.0,23.0,45.0,24.0,1429.0,459.0,970.0,2007
RI-500,Rhode Island Statewide CoC,1372.0,688.0,635.0,1323.0,49.0,643.0,403.0,196.0,599.0,44.0,729.0,285.0,439.0,724.0,5.0,214.0,85.0,127.0,212.0,2.0,134.0,90.0,44.0,2007
SC-500,Charleston/Low Country CoC,539.0,290.0,192.0,482.0,57.0,432.0,239.0,142.0,381.0,51.0,107.0,51.0,50.0,101.0,6.0,40.0,19.0,18.0,37.0,3.0,46.0,39.0,7.0,2007
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",1606.0,673.0,427.0,1100.0,506.0,1089.0,540.0,168.0,708.0,381.0,517.0,133.0,259.0,392.0,125.0,157.0,49.0,83.0,132.0,25.0,273.0,215.0,58.0,2007
SC-502,Columbia/Midlands CoC,1569.0,531.0,415.0,946.0,623.0,1278.0,403.0,317.0,720.0,558.0,291.0,128.0,98.0,226.0,65.0,97.0,44.0,34.0,78.0,19.0,185.0,105.0,80.0,2007
SC-503,"Myrtle Beach, Sumter City & County CoC",1946.0,186.0,372.0,558.0,1388.0,972.0,79.0,142.0,221.0,751.0,974.0,107.0,230.0,337.0,637.0,164.0,26.0,53.0,79.0,85.0,69.0,8.0,61.0,2007
SD-500,South Dakota Statewide CoC,579.0,269.0,269.0,538.0,41.0,268.0,138.0,97.0,235.0,33.0,311.0,131.0,172.0,303.0,8.0,108.0,46.0,58.0,104.0,4.0,104.0,79.0,25.0,2007
TN-500,Chattanooga/Southeast Tennessee CoC,1064.0,214.0,93.0,307.0,757.0,977.0,175.0,60.0,235.0,742.0,87.0,39.0,33.0,72.0,15.0,37.0,14.0,11.0,25.0,12.0,679.0,44.0,635.0,2007
TN-501,Memphis/Shelby County CoC,1814.0,633.0,1111.0,1744.0,70.0,1181.0,520.0,591.0,1111.0,70.0,633.0,113.0,520.0,633.0,0.0,198.0,35.0,163.0,198.0,0.0,87.0,52.0,35.0,2007
TN-502,Knoxville/Knox County CoC,956.0,430.0,400.0,830.0,126.0,794.0,386.0,290.0,676.0,118.0,162.0,44.0,110.0,154.0,8.0,55.0,15.0,37.0,52.0,3.0,162.0,125.0,37.0,2007
TN-503,Central Tennessee CoC,360.0,170.0,111.0,281.0,79.0,251.0,105.0,95.0,200.0,51.0,109.0,65.0,16.0,81.0,28.0,23.0,10.0,6.0,16.0,7.0,33.0,22.0,11.0,2007
TN-504,Nashville-Davidson County CoC,2156.0,1257.0,509.0,1766.0,390.0,1996.0,1195.0,419.0,1614.0,382.0,160.0,62.0,90.0,152.0,8.0,67.0,25.0,40.0,65.0,2.0,824.0,442.0,382.0,2007
TN-506,Upper Cumberland CoC,704.0,176.0,20.0,196.0,508.0,333.0,102.0,14.0,116.0,217.0,371.0,74.0,6.0,80.0,291.0,133.0,27.0,2.0,29.0,104.0,217.0,79.0,138.0,2007
TN-507,Jackson/West Tennessee CoC,2255.0,108.0,146.0,254.0,2001.0,1695.0,84.0,125.0,209.0,1486.0,560.0,24.0,21.0,45.0,515.0,227.0,12.0,9.0,21.0,206.0,310.0,20.0,290.0,2007
TN-509,Appalachian Regional CoC,559.0,306.0,39.0,345.0,214.0,478.0,249.0,23.0,272.0,206.0,81.0,57.0,16.0,73.0,8.0,26.0,18.0,5.0,23.0,3.0,88.0,46.0,42.0,2007
TN-510,Murfreesboro/Rutherford County CoC,438.0,124.0,166.0,290.0,148.0,375.0,78.0,166.0,244.0,131.0,63.0,46.0,0.0,46.0,17.0,16.0,14.0,0.0,14.0,2.0,112.0,38.0,74.0,2007
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",904.0,169.0,264.0,433.0,471.0,382.0,32.0,14.0,46.0,336.0,522.0,137.0,250.0,387.0,135.0,173.0,45.0,72.0,117.0,56.0,255.0,28.0,227.0,2007
TX-500,San Antonio/Bexar County CoC,2247.0,869.0,929.0,1798.0,449.0,1375.0,669.0,276.0,945.0,430.0,872.0,200.0,653.0,853.0,19.0,277.0,56.0,216.0,272.0,5.0,218.0,96.0,122.0,2007
TX-503,Austin/Travis County CoC,5281.0,891.0,504.0,1395.0,3886.0,3116.0,614.0,159.0,773.0,2343.0,2165.0,277.0,345.0,622.0,1543.0,616.0,83.0,92.0,175.0,441.0,443.0,92.0,351.0,2007
TX-600,"Dallas City & County, Irving CoC",3408.0,1875.0,1166.0,3041.0,367.0,2046.0,1254.0,429.0,1683.0,363.0,1362.0,621.0,737.0,1358.0,4.0,438.0,199.0,238.0,437.0,1.0,574.0,472.0,102.0,2007
TX-601,"Fort Worth, Arlington/Tarrant County CoC",2876.0,1049.0,1626.0,2675.0,201.0,1550.0,822.0,527.0,1349.0,201.0,1326.0,227.0,1099.0,1326.0,0.0,422.0,74.0,348.0,422.0,0.0,479.0,392.0,87.0,2007
TX-603,El Paso City & County CoC,1241.0,629.0,339.0,968.0,273.0,804.0,438.0,93.0,531.0,273.0,437.0,191.0,246.0,437.0,0.0,133.0,56.0,77.0,133.0,0.0,208.0,72.0,136.0,2007
TX-604,Waco/McLennan County CoC,431.0,108.0,151.0,259.0,172.0,321.0,90.0,86.0,176.0,145.0,110.0,18.0,65.0,83.0,27.0,38.0,7.0,25.0,32.0,6.0,70.0,32.0,38.0,2007
TX-607,Texas Balance of State CoC,12958.0,5572.0,1426.0,6998.0,5960.0,8406.0,3490.0,895.0,4385.0,4021.0,4552.0,2082.0,531.0,2613.0,1939.0,1131.0,449.0,152.0,601.0,530.0,1990.0,978.0,1012.0,2007
TX-611,Amarillo CoC,431.0,225.0,73.0,298.0,133.0,258.0,130.0,6.0,136.0,122.0,173.0,95.0,67.0,162.0,11.0,68.0,39.0,25.0,64.0,4.0,75.0,53.0,22.0,2007
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",263.0,214.0,0.0,214.0,49.0,223.0,174.0,0.0,174.0,49.0,40.0,40.0,0.0,40.0,0.0,14.0,14.0,0.0,14.0,0.0,207.0,158.0,49.0,2007
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",10363.0,2288.0,2729.0,5017.0,5346.0,8054.0,1653.0,1207.0,2860.0,5194.0,2309.0,635.0,1522.0,2157.0,152.0,668.0,183.0,440.0,623.0,45.0,3627.0,906.0,2721.0,2007
TX-701,"Bryan, College Station/Brazos Valley CoC",289.0,120.0,99.0,219.0,70.0,153.0,86.0,21.0,107.0,46.0,136.0,34.0,78.0,112.0,24.0,34.0,11.0,17.0,28.0,6.0,40.0,39.0,1.0,2007
UT-500,Salt Lake City & County CoC,2079.0,1115.0,766.0,1881.0,198.0,1390.0,814.0,378.0,1192.0,198.0,689.0,301.0,388.0,689.0,0.0,261.0,60.0,201.0,261.0,0.0,545.0,347.0,198.0,2007
UT-503,Utah Balance of State CoC,716.0,354.0,276.0,630.0,86.0,470.0,226.0,158.0,384.0,86.0,246.0,128.0,118.0,246.0,0.0,81.0,42.0,39.0,81.0,0.0,217.0,131.0,86.0,2007
UT-504,Provo/Mountainland CoC,216.0,82.0,105.0,187.0,29.0,85.0,31.0,25.0,56.0,29.0,131.0,51.0,80.0,131.0,0.0,53.0,18.0,35.0,53.0,0.0,39.0,10.0,29.0,2007
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",1158.0,413.0,601.0,1014.0,144.0,917.0,323.0,452.0,775.0,142.0,241.0,90.0,149.0,239.0,2.0,102.0,43.0,58.0,101.0,1.0,185.0,43.0,142.0,2007
