CoC Number,CoC Name,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Year
AK-500,Anchorage CoC,974.0,548.0,294.0,842.0,132.0,696.0,438.0,151.0,589.0,107.0,278.0,110.0,143.0,253.0,25.0,93.0,39.0,46.0,85.0,8.0,224.0,187.0,37.0,2007
AK-501,Alaska Balance of State CoC,668.0,350.0,195.0,545.0,123.0,366.0,180.0,122.0,302.0,64.0,302.0,170.0,73.0,243.0,59.0,97.0,56.0,24.0,80.0,17.0,54.0,34.0,20.0,2007
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2104.0,465.0,775.0,1240.0,864.0,1529.0,393.0,440.0,833.0,696.0,575.0,72.0,335.0,407.0,168.0,228.0,31.0,122.0,153.0,75.0,516.0,269.0,247.0,2007
AL-501,Mobile City & County/Baldwin County CoC,649.0,113.0,297.0,410.0,239.0,499.0,85.0,175.0,260.0,239.0,150.0,28.0,122.0,150.0,0.0,48.0,12.0,36.0,48.0,0.0,84.0,10.0,74.0,2007
AL-502,Florence/Northwest Alabama CoC,265.0,13.0,118.0,131.0,134.0,143.0,10.0,83.0,93.0,50.0,122.0,3.0,35.0,38.0,84.0,38.0,1.0,9.0,10.0,28.0,8.0,0.0,8.0,2007
AL-503,Huntsville/North Alabama CoC,830.0,336.0,420.0,756.0,74.0,761.0,336.0,351.0,687.0,74.0,69.0,0.0,69.0,69.0,0.0,25.0,0.0,25.0,25.0,0.0,215.0,144.0,71.0,2007
AL-504,Montgomery City & County CoC,456.0,107.0,224.0,331.0,125.0,392.0,99.0,171.0,270.0,122.0,64.0,8.0,53.0,61.0,3.0,25.0,3.0,21.0,24.0,1.0,108.0,39.0,69.0,2007
AL-505,Gadsden/Northeast Alabama CoC,119.0,93.0,11.0,104.0,15.0,103.0,79.0,11.0,90.0,13.0,16.0,14.0,0.0,14.0,2.0,6.0,5.0,0.0,5.0,1.0,4.0,0.0,4.0,2007
AL-506,Tuscaloosa City & County CoC,345.0,39.0,293.0,332.0,13.0,294.0,36.0,249.0,285.0,9.0,51.0,3.0,44.0,47.0,4.0,10.0,1.0,8.0,9.0,1.0,15.0,15.0,0.0,2007
AL-507,Alabama Balance of State CoC,684.0,286.0,206.0,492.0,192.0,463.0,172.0,133.0,305.0,158.0,221.0,114.0,73.0,187.0,34.0,86.0,43.0,30.0,73.0,13.0,43.0,6.0,37.0,2007
AR-500,Little Rock/Central Arkansas CoC,1822.0,649.0,538.0,1187.0,635.0,1632.0,605.0,404.0,1009.0,623.0,190.0,44.0,134.0,178.0,12.0,61.0,15.0,43.0,58.0,3.0,491.0,300.0,191.0,2007
AR-501,Fayetteville/Northwest Arkansas CoC,279.0,165.0,79.0,244.0,35.0,157.0,108.0,25.0,133.0,24.0,122.0,57.0,54.0,111.0,11.0,47.0,27.0,16.0,43.0,4.0,34.0,25.0,9.0,2007
AR-502,Conway/Arkansas River Valley,163.0,11.0,48.0,59.0,104.0,87.0,9.0,10.0,19.0,68.0,76.0,2.0,38.0,40.0,36.0,26.0,2.0,15.0,17.0,9.0,15.0,0.0,15.0,2007
AR-504,Delta Hills CoC,901.0,114.0,277.0,391.0,510.0,626.0,80.0,267.0,347.0,279.0,275.0,34.0,10.0,44.0,231.0,127.0,13.0,4.0,17.0,110.0,228.0,43.0,185.0,2007
AR-505,Southeast Arkansas CoC,130.0,102.0,18.0,120.0,10.0,35.0,23.0,9.0,32.0,3.0,95.0,79.0,9.0,88.0,7.0,24.0,19.0,3.0,22.0,2.0,25.0,25.0,0.0,2007
AR-506,"Johnson, Pope, Yell Counties",21.0,4.0,14.0,18.0,3.0,21.0,4.0,14.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2007
AR-508,Fort Smith CoC,194.0,87.0,60.0,147.0,47.0,157.0,59.0,52.0,111.0,46.0,37.0,28.0,8.0,36.0,1.0,17.0,10.0,6.0,16.0,1.0,35.0,15.0,20.0,2007
AR-509,Hot Springs/South West Arkansas CoC,4.0,2.0,0.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2007
AR-510,"Hempstead, Sevier, Howard, Little River Counties CoC",322.0,117.0,0.0,117.0,205.0,268.0,95.0,0.0,95.0,173.0,54.0,22.0,0.0,22.0,32.0,22.0,11.0,0.0,11.0,11.0,20.0,0.0,20.0,2007
AZ-500,Arizona Balance of State CoC,2997.0,472.0,541.0,1013.0,1984.0,2235.0,266.0,266.0,532.0,1703.0,762.0,206.0,275.0,481.0,281.0,274.0,68.0,90.0,158.0,116.0,425.0,93.0,332.0,2007
AZ-501,Tucson/Pima County CoC,3201.0,687.0,1323.0,2010.0,1191.0,2258.0,467.0,692.0,1159.0,1099.0,943.0,220.0,631.0,851.0,92.0,301.0,75.0,194.0,269.0,32.0,890.0,150.0,740.0,2007
AZ-502,"Phoenix, Mesa/Maricopa County CoC",8448.0,2775.0,2820.0,5595.0,2853.0,5527.0,1679.0,1053.0,2732.0,2795.0,2921.0,1096.0,1767.0,2863.0,58.0,884.0,320.0,544.0,864.0,20.0,1489.0,407.0,1082.0,2007
CA-500,San Jose/Santa Clara City & County CoC,7202.0,999.0,1102.0,2101.0,5101.0,5945.0,759.0,346.0,1105.0,4840.0,1257.0,240.0,756.0,996.0,261.0,326.0,76.0,221.0,297.0,29.0,1757.0,223.0,1534.0,2007
CA-501,San Francisco CoC,5703.0,2140.0,772.0,2912.0,2791.0,5171.0,1818.0,582.0,2400.0,2771.0,532.0,322.0,190.0,512.0,20.0,194.0,113.0,73.0,186.0,8.0,1735.0,738.0,997.0,2007
CA-502,"Oakland, Berkeley/Alameda County CoC",4838.0,992.0,1350.0,2342.0,2496.0,3026.0,675.0,582.0,1257.0,1769.0,1812.0,317.0,768.0,1085.0,727.0,653.0,108.0,261.0,369.0,284.0,1257.0,318.0,939.0,2007
CA-503,Sacramento City & County CoC,2452.0,709.0,738.0,1447.0,1005.0,1965.0,574.0,408.0,982.0,983.0,487.0,135.0,330.0,465.0,22.0,163.0,51.0,106.0,157.0,6.0,718.0,215.0,503.0,2007
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",1314.0,453.0,329.0,782.0,532.0,888.0,278.0,129.0,407.0,481.0,426.0,175.0,200.0,375.0,51.0,149.0,55.0,71.0,126.0,23.0,297.0,79.0,218.0,2007
CA-505,Richmond/Contra Costa County CoC,4062.0,522.0,381.0,903.0,3159.0,2892.0,225.0,107.0,332.0,2560.0,1170.0,297.0,274.0,571.0,599.0,344.0,129.0,69.0,198.0,146.0,1225.0,88.0,1137.0,2007
CA-506,"Salinas/Monterey, San Benito Counties CoC",1402.0,210.0,299.0,509.0,893.0,1149.0,177.0,85.0,262.0,887.0,253.0,33.0,214.0,247.0,6.0,79.0,12.0,65.0,77.0,2.0,336.0,27.0,309.0,2007
CA-507,Marin County CoC,1002.0,139.0,463.0,602.0,400.0,846.0,122.0,343.0,465.0,381.0,156.0,17.0,120.0,137.0,19.0,52.0,6.0,37.0,43.0,9.0,172.0,41.0,131.0,2007
CA-508,Watsonville/Santa Cruz City & County CoC,2789.0,284.0,202.0,486.0,2303.0,2408.0,183.0,78.0,261.0,2147.0,381.0,101.0,124.0,225.0,156.0,127.0,32.0,42.0,74.0,53.0,1161.0,68.0,1093.0,2007
CA-509,Mendocino County CoC,1422.0,187.0,97.0,284.0,1138.0,1192.0,134.0,30.0,164.0,1028.0,230.0,53.0,67.0,120.0,110.0,152.0,23.0,19.0,42.0,110.0,520.0,136.0,384.0,2007
CA-510,"Turlock, Modesto/Stanislaus County CoC",1593.0,415.0,219.0,634.0,959.0,1001.0,249.0,33.0,282.0,719.0,592.0,166.0,186.0,352.0,240.0,198.0,56.0,61.0,117.0,81.0,552.0,82.0,470.0,2007
CA-511,Stockton/San Joaquin County CoC,2479.0,1614.0,562.0,2176.0,303.0,1657.0,1279.0,138.0,1417.0,240.0,822.0,335.0,424.0,759.0,63.0,264.0,94.0,131.0,225.0,39.0,201.0,144.0,57.0,2007
CA-512,Daly/San Mateo County CoC,1798.0,205.0,499.0,704.0,1094.0,1388.0,89.0,221.0,310.0,1078.0,410.0,116.0,278.0,394.0,16.0,126.0,34.0,88.0,122.0,4.0,475.0,25.0,450.0,2007
CA-513,"Visalia/Kings, Tulare Counties CoC",1106.0,150.0,130.0,280.0,826.0,537.0,72.0,96.0,168.0,369.0,569.0,78.0,34.0,112.0,457.0,152.0,24.0,13.0,37.0,115.0,49.0,6.0,43.0,2007
CA-514,Fresno City & County/Madera County CoC,4247.0,1183.0,1552.0,2735.0,1512.0,2666.0,951.0,1078.0,2029.0,637.0,1581.0,232.0,474.0,706.0,875.0,488.0,109.0,192.0,301.0,187.0,941.0,629.0,312.0,2007
CA-515,"Roseville, Rocklin/Placer County CoC",587.0,62.0,388.0,450.0,137.0,368.0,52.0,192.0,244.0,124.0,219.0,10.0,196.0,206.0,13.0,60.0,3.0,53.0,56.0,4.0,48.0,22.0,26.0,2007
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",296.0,124.0,126.0,250.0,46.0,147.0,74.0,47.0,121.0,26.0,149.0,50.0,79.0,129.0,20.0,49.0,16.0,23.0,39.0,10.0,86.0,67.0,19.0,2007
CA-517,Napa City & County CoC,365.0,126.0,93.0,219.0,146.0,236.0,88.0,26.0,114.0,122.0,129.0,38.0,67.0,105.0,24.0,32.0,11.0,13.0,24.0,8.0,150.0,52.0,98.0,2007
CA-518,Vallejo/Solano County CoC,1956.0,270.0,187.0,457.0,1499.0,818.0,109.0,116.0,225.0,593.0,1138.0,161.0,71.0,232.0,906.0,475.0,81.0,32.0,113.0,362.0,524.0,31.0,493.0,2007
CA-519,"Chico, Paradise/Butte County CoC",1478.0,759.0,177.0,936.0,542.0,1057.0,536.0,53.0,589.0,468.0,421.0,223.0,124.0,347.0,74.0,134.0,60.0,31.0,91.0,43.0,353.0,188.0,165.0,2007
CA-520,Merced City & County CoC,2641.0,137.0,84.0,221.0,2420.0,2195.0,117.0,69.0,186.0,2009.0,446.0,20.0,15.0,35.0,411.0,131.0,6.0,4.0,10.0,121.0,701.0,0.0,701.0,2007
CA-521,"Davis, Woodland/Yolo County CoC",414.0,61.0,167.0,228.0,186.0,292.0,48.0,62.0,110.0,182.0,122.0,13.0,105.0,118.0,4.0,37.0,4.0,32.0,36.0,1.0,93.0,15.0,78.0,2007
CA-522,Humboldt County CoC,907.0,172.0,150.0,322.0,585.0,366.0,87.0,52.0,139.0,227.0,541.0,85.0,98.0,183.0,358.0,146.0,27.0,30.0,57.0,89.0,219.0,29.0,190.0,2007
CA-523,"Colusa, Glenn, Trinity Counties CoC",155.0,16.0,38.0,54.0,101.0,61.0,7.0,11.0,18.0,43.0,94.0,9.0,27.0,36.0,58.0,24.0,3.0,7.0,10.0,14.0,27.0,0.0,27.0,2007
CA-524,Yuba City & County/Sutter County CoC,362.0,48.0,251.0,299.0,63.0,212.0,39.0,114.0,153.0,59.0,150.0,9.0,137.0,146.0,4.0,45.0,4.0,39.0,43.0,2.0,44.0,9.0,35.0,2007
CA-525,El Dorado County CoC,107.0,38.0,53.0,91.0,16.0,65.0,22.0,32.0,54.0,11.0,42.0,16.0,21.0,37.0,5.0,12.0,4.0,7.0,11.0,1.0,8.0,7.0,1.0,2007
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",400.0,58.0,21.0,79.0,321.0,252.0,26.0,0.0,26.0,226.0,148.0,32.0,21.0,53.0,95.0,51.0,13.0,6.0,19.0,32.0,90.0,14.0,76.0,2007
CA-600,Los Angeles City & County CoC,47862.0,5525.0,5917.0,11442.0,36420.0,44185.0,4492.0,3925.0,8417.0,35768.0,3677.0,1033.0,1992.0,3025.0,652.0,1165.0,297.0,612.0,909.0,256.0,19031.0,1604.0,17427.0,2007
CA-601,San Diego City and County CoC,7326.0,1152.0,2829.0,3981.0,3345.0,5295.0,756.0,1589.0,2345.0,2950.0,2031.0,396.0,1240.0,1636.0,395.0,685.0,132.0,434.0,566.0,119.0,975.0,268.0,707.0,2007
CA-602,"Santa Ana, Anaheim/Orange County CoC",3649.0,1410.0,1168.0,2578.0,1071.0,2112.0,936.0,360.0,1296.0,816.0,1537.0,474.0,808.0,1282.0,255.0,513.0,171.0,268.0,439.0,74.0,257.0,36.0,221.0,2007
CA-603,Santa Maria/Santa Barbara County CoC,4253.0,554.0,926.0,1480.0,2773.0,3212.0,281.0,430.0,711.0,2501.0,1041.0,273.0,496.0,769.0,272.0,245.0,81.0,97.0,178.0,67.0,503.0,244.0,259.0,2007
CA-604,Bakersfield/Kern County CoC,1537.0,389.0,516.0,905.0,632.0,1248.0,252.0,394.0,646.0,602.0,289.0,137.0,122.0,259.0,30.0,89.0,40.0,43.0,83.0,6.0,316.0,69.0,247.0,2007
CA-606,Long Beach CoC,3829.0,613.0,1066.0,1679.0,2150.0,2814.0,386.0,803.0,1189.0,1625.0,1015.0,227.0,263.0,490.0,525.0,320.0,75.0,88.0,163.0,157.0,628.0,0.0,628.0,2007
CA-607,Pasadena CoC,969.0,322.0,112.0,434.0,535.0,676.0,235.0,63.0,298.0,378.0,293.0,87.0,49.0,136.0,157.0,74.0,23.0,12.0,35.0,39.0,279.0,59.0,220.0,2007
CA-608,Riverside City & County CoC,4508.0,484.0,846.0,1330.0,3178.0,3343.0,263.0,349.0,612.0,2731.0,1165.0,221.0,497.0,718.0,447.0,338.0,69.0,136.0,205.0,133.0,1003.0,154.0,849.0,2007
CA-609,San Bernardino City & County CoC,6969.0,807.0,413.0,1220.0,5749.0,6191.0,317.0,292.0,609.0,5582.0,778.0,490.0,121.0,611.0,167.0,237.0,152.0,40.0,192.0,45.0,2386.0,142.0,2244.0,2007
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",1961.0,218.0,208.0,426.0,1535.0,1513.0,145.0,102.0,247.0,1266.0,448.0,73.0,106.0,179.0,269.0,132.0,16.0,36.0,52.0,80.0,301.0,42.0,259.0,2007
CA-612,Glendale CoC,296.0,151.0,82.0,233.0,63.0,161.0,113.0,10.0,123.0,38.0,135.0,38.0,72.0,110.0,25.0,50.0,16.0,26.0,42.0,8.0,79.0,64.0,15.0,2007
CA-613,Imperial County CoC,342.0,89.0,24.0,113.0,229.0,54.0,54.0,0.0,54.0,0.0,288.0,35.0,24.0,59.0,229.0,29.0,17.0,12.0,29.0,0.0,229.0,0.0,229.0,2007
CA-614,San Luis Obispo County CoC,2408.0,133.0,54.0,187.0,2221.0,1348.0,76.0,54.0,130.0,1218.0,1060.0,57.0,0.0,57.0,1003.0,193.0,22.0,0.0,22.0,171.0,615.0,15.0,600.0,2007
CO-500,Colorado Balance of State CoC,4450.0,601.0,492.0,1093.0,3357.0,2633.0,347.0,104.0,451.0,2182.0,1817.0,254.0,388.0,642.0,1175.0,613.0,104.0,147.0,251.0,362.0,1443.0,31.0,1412.0,2007
CO-503,Metropolitan Denver CoC,8698.0,2701.0,2484.0,5185.0,3513.0,3449.0,1554.0,615.0,2169.0,1280.0,5249.0,1147.0,1869.0,3016.0,2233.0,1994.0,459.0,647.0,1106.0,888.0,412.0,272.0,140.0,2007
CO-504,Colorado Springs/El Paso County CoC,1077.0,328.0,365.0,693.0,384.0,762.0,257.0,177.0,434.0,328.0,315.0,71.0,188.0,259.0,56.0,97.0,21.0,54.0,75.0,22.0,195.0,101.0,94.0,2007
CT-503,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",919.0,394.0,395.0,789.0,130.0,627.0,300.0,204.0,504.0,123.0,292.0,94.0,191.0,285.0,7.0,93.0,31.0,59.0,90.0,3.0,135.0,75.0,60.0,2007
CT-505,Connecticut Balance of State CoC,3563.0,1868.0,1014.0,2882.0,681.0,2546.0,1331.0,621.0,1952.0,594.0,1017.0,537.0,393.0,930.0,87.0,349.0,180.0,134.0,314.0,35.0,888.0,521.0,367.0,2007
DC-500,District of Columbia CoC,5320.0,3248.0,1732.0,4980.0,340.0,3717.0,2455.0,922.0,3377.0,340.0,1603.0,793.0,810.0,1603.0,0.0,507.0,246.0,261.0,507.0,0.0,1760.0,1439.0,321.0,2007
DE-500,Delaware Statewide CoC,1061.0,439.0,415.0,854.0,207.0,716.0,283.0,247.0,530.0,186.0,345.0,156.0,168.0,324.0,21.0,119.0,56.0,55.0,111.0,8.0,150.0,76.0,74.0,2007
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",1012.0,274.0,220.0,494.0,518.0,777.0,197.0,145.0,342.0,435.0,235.0,77.0,75.0,152.0,83.0,79.0,20.0,25.0,45.0,34.0,135.0,0.0,135.0,2007
FL-501,Tampa/Hillsborough County CoC,6483.0,358.0,692.0,1050.0,5433.0,4397.0,262.0,322.0,584.0,3813.0,2086.0,96.0,370.0,466.0,1620.0,837.0,40.0,108.0,148.0,689.0,528.0,147.0,381.0,2007
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2526.0,487.0,818.0,1305.0,1221.0,2129.0,359.0,552.0,911.0,1218.0,397.0,128.0,266.0,394.0,3.0,151.0,54.0,96.0,150.0,1.0,611.0,197.0,414.0,2007
FL-503,"Lakeland, Winterhaven/Polk County CoC",802.0,208.0,279.0,487.0,315.0,593.0,177.0,159.0,336.0,257.0,209.0,31.0,120.0,151.0,58.0,63.0,10.0,38.0,48.0,15.0,197.0,179.0,18.0,2007
FL-504,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",1478.0,101.0,468.0,569.0,909.0,854.0,70.0,133.0,203.0,651.0,624.0,31.0,335.0,366.0,258.0,304.0,9.0,209.0,218.0,86.0,184.0,0.0,184.0,2007
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",2179.0,45.0,60.0,105.0,2074.0,1193.0,21.0,30.0,51.0,1142.0,986.0,24.0,30.0,54.0,932.0,442.0,12.0,12.0,24.0,418.0,828.0,0.0,828.0,2007
FL-506,Tallahassee/Leon County CoC,590.0,254.0,241.0,495.0,95.0,434.0,200.0,164.0,364.0,70.0,156.0,54.0,77.0,131.0,25.0,44.0,14.0,23.0,37.0,7.0,150.0,100.0,50.0,2007
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",3823.0,734.0,1269.0,2003.0,1820.0,2009.0,412.0,827.0,1239.0,770.0,1814.0,322.0,442.0,764.0,1050.0,544.0,96.0,128.0,224.0,320.0,951.0,324.0,627.0,2007
FL-508,"Gainesville/Alachua, Putnam Counties CoC",678.0,155.0,108.0,263.0,415.0,589.0,117.0,64.0,181.0,408.0,89.0,38.0,44.0,82.0,7.0,39.0,13.0,20.0,33.0,6.0,179.0,5.0,174.0,2007
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",1734.0,317.0,141.0,458.0,1276.0,972.0,106.0,39.0,145.0,827.0,762.0,211.0,102.0,313.0,449.0,398.0,68.0,39.0,107.0,291.0,202.0,0.0,202.0,2007
FL-510,"Jacksonville-Duval, Clay Counties CoC",2743.0,828.0,757.0,1585.0,1158.0,2237.0,664.0,423.0,1087.0,1150.0,506.0,164.0,334.0,498.0,8.0,250.0,134.0,114.0,248.0,2.0,416.0,282.0,134.0,2007
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",629.0,168.0,179.0,347.0,282.0,368.0,89.0,121.0,210.0,158.0,261.0,79.0,58.0,137.0,124.0,104.0,47.0,17.0,64.0,40.0,36.0,0.0,36.0,2007
FL-512,St. Johns County CoC,1238.0,60.0,46.0,106.0,1132.0,1099.0,32.0,4.0,36.0,1063.0,139.0,28.0,42.0,70.0,69.0,50.0,14.0,19.0,33.0,17.0,119.0,0.0,119.0,2007
FL-513,"Palm Bay, Melbourne/Brevard County CoC",1899.0,94.0,408.0,502.0,1397.0,1532.0,52.0,249.0,301.0,1231.0,367.0,42.0,159.0,201.0,166.0,115.0,16.0,43.0,59.0,56.0,576.0,25.0,551.0,2007
FL-514,Ocala/Marion County CoC,480.0,139.0,173.0,312.0,168.0,348.0,105.0,75.0,180.0,168.0,132.0,34.0,98.0,132.0,0.0,45.0,13.0,32.0,45.0,0.0,7.0,7.0,0.0,2007
FL-515,"Panama City/Bay, Jackson Counties CoC",313.0,62.0,149.0,211.0,102.0,269.0,43.0,124.0,167.0,102.0,44.0,19.0,25.0,44.0,0.0,12.0,5.0,7.0,12.0,0.0,30.0,0.0,30.0,2007
FL-517,"Hendry, Hardee, Highlands Counties CoC",904.0,0.0,664.0,664.0,240.0,904.0,0.0,664.0,664.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0,240.0,2007
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",250.0,77.0,8.0,85.0,165.0,149.0,45.0,8.0,53.0,96.0,101.0,32.0,0.0,32.0,69.0,19.0,8.0,0.0,8.0,11.0,59.0,17.0,42.0,2007
FL-519,Pasco County CoC,2260.0,1379.0,0.0,1379.0,881.0,433.0,246.0,0.0,246.0,187.0,1827.0,1133.0,0.0,1133.0,694.0,831.0,515.0,0.0,515.0,316.0,212.0,151.0,61.0,2007
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",2019.0,74.0,118.0,192.0,1827.0,845.0,40.0,104.0,144.0,701.0,1174.0,34.0,14.0,48.0,1126.0,378.0,14.0,5.0,19.0,359.0,86.0,8.0,78.0,2007
FL-600,Miami-Dade County CoC,4392.0,1304.0,1708.0,3012.0,1380.0,3163.0,830.0,955.0,1785.0,1378.0,1229.0,474.0,753.0,1227.0,2.0,347.0,144.0,202.0,346.0,1.0,407.0,133.0,274.0,2007
FL-601,Ft Lauderdale/Broward County CoC,3154.0,834.0,1619.0,2453.0,701.0,2451.0,594.0,1220.0,1814.0,637.0,703.0,240.0,399.0,639.0,64.0,178.0,60.0,95.0,155.0,23.0,222.0,59.0,163.0,2007
FL-602,Punta Gorda/Charlotte County CoC,730.0,64.0,386.0,450.0,280.0,635.0,34.0,328.0,362.0,273.0,95.0,30.0,58.0,88.0,7.0,46.0,15.0,29.0,44.0,2.0,273.0,0.0,273.0,2007
FL-603,"Ft Myers, Cape Coral/Lee County CoC",2382.0,162.0,271.0,433.0,1949.0,1958.0,109.0,265.0,374.0,1584.0,424.0,53.0,6.0,59.0,365.0,123.0,10.0,1.0,11.0,112.0,147.0,54.0,93.0,2007
FL-604,Monroe County CoC,1121.0,265.0,212.0,477.0,644.0,1017.0,240.0,170.0,410.0,607.0,104.0,25.0,42.0,67.0,37.0,37.0,13.0,14.0,27.0,10.0,289.0,120.0,169.0,2007
FL-605,West Palm Beach/Palm Beach County CoC,1766.0,345.0,382.0,727.0,1039.0,1302.0,157.0,157.0,314.0,988.0,464.0,188.0,225.0,413.0,51.0,150.0,59.0,74.0,133.0,17.0,329.0,34.0,295.0,2007
FL-606,Naples/Collier County CoC,484.0,200.0,165.0,365.0,119.0,383.0,166.0,103.0,269.0,114.0,101.0,34.0,62.0,96.0,5.0,32.0,9.0,21.0,30.0,2.0,50.0,0.0,50.0,2007
GA-500,Atlanta CoC,6840.0,2386.0,2339.0,4725.0,2115.0,5622.0,2027.0,1524.0,3551.0,2071.0,1218.0,359.0,815.0,1174.0,44.0,379.0,115.0,250.0,365.0,14.0,1196.0,583.0,613.0,2007
GA-501,Georgia Balance of State CoC,10255.0,916.0,1055.0,1971.0,8284.0,5028.0,616.0,475.0,1091.0,3937.0,5227.0,300.0,580.0,880.0,4347.0,1550.0,142.0,166.0,308.0,1242.0,657.0,278.0,379.0,2007
GA-503,Athens-Clarke County CoC,464.0,192.0,141.0,333.0,131.0,304.0,98.0,83.0,181.0,123.0,160.0,94.0,58.0,152.0,8.0,53.0,31.0,19.0,50.0,3.0,158.0,74.0,84.0,2007
GA-504,Augusta-Richmond County CoC,489.0,276.0,175.0,451.0,38.0,373.0,243.0,96.0,339.0,34.0,116.0,33.0,79.0,112.0,4.0,40.0,13.0,26.0,39.0,1.0,90.0,90.0,0.0,2007
GA-505,Columbus-Muscogee CoC,540.0,140.0,48.0,188.0,352.0,413.0,98.0,48.0,146.0,267.0,127.0,42.0,0.0,42.0,85.0,49.0,15.0,0.0,15.0,34.0,69.0,38.0,31.0,2007
GA-506,Marietta/Cobb County CoC,537.0,125.0,204.0,329.0,208.0,346.0,74.0,86.0,160.0,186.0,191.0,51.0,118.0,169.0,22.0,69.0,20.0,41.0,61.0,8.0,154.0,45.0,109.0,2007
GA-507,Savannah/Chatham County CoC,514.0,232.0,112.0,344.0,170.0,435.0,195.0,80.0,275.0,160.0,79.0,37.0,32.0,69.0,10.0,37.0,16.0,11.0,27.0,10.0,160.0,0.0,160.0,2007
GU-500,Guam CoC,725.0,33.0,70.0,103.0,622.0,254.0,14.0,39.0,53.0,201.0,471.0,19.0,31.0,50.0,421.0,120.0,5.0,9.0,14.0,106.0,0.0,0.0,0.0,2007
HI-500,Hawaii Balance of State CoC,2320.0,310.0,445.0,755.0,1565.0,1245.0,310.0,36.0,346.0,899.0,1075.0,0.0,409.0,409.0,666.0,296.0,0.0,121.0,121.0,175.0,553.0,18.0,535.0,2007
HI-501,Honolulu City and County CoC,3750.0,729.0,1228.0,1957.0,1793.0,2090.0,344.0,410.0,754.0,1336.0,1660.0,385.0,818.0,1203.0,457.0,438.0,115.0,208.0,323.0,115.0,225.0,114.0,111.0,2007
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",164.0,81.0,78.0,159.0,5.0,122.0,71.0,46.0,117.0,5.0,42.0,10.0,32.0,42.0,0.0,17.0,3.0,14.0,17.0,0.0,41.0,41.0,0.0,2007
IA-501,Iowa Balance of State CoC,1529.0,463.0,877.0,1340.0,189.0,678.0,301.0,226.0,527.0,151.0,851.0,162.0,651.0,813.0,38.0,305.0,58.0,229.0,287.0,18.0,107.0,84.0,23.0,2007
IA-502,Des Moines/Polk County CoC,1041.0,308.0,634.0,942.0,99.0,704.0,243.0,367.0,610.0,94.0,337.0,65.0,267.0,332.0,5.0,105.0,22.0,82.0,104.0,1.0,159.0,100.0,59.0,2007
ID-500,Boise/Ada County CoC,581.0,336.0,136.0,472.0,109.0,410.0,295.0,12.0,307.0,103.0,171.0,41.0,124.0,165.0,6.0,57.0,17.0,38.0,55.0,2.0,26.0,4.0,22.0,2007
ID-501,Idaho Balance of State CoC,1168.0,250.0,403.0,653.0,515.0,692.0,145.0,161.0,306.0,386.0,476.0,105.0,242.0,347.0,129.0,153.0,38.0,82.0,120.0,33.0,69.0,33.0,36.0,2007
IL-500,McHenry County CoC,253.0,64.0,171.0,235.0,18.0,183.0,51.0,121.0,172.0,11.0,70.0,13.0,50.0,63.0,7.0,24.0,5.0,16.0,21.0,3.0,34.0,23.0,11.0,2007
IL-501,"Rockford/DeKalb, Winnebago, Boone Counties CoC",705.0,313.0,318.0,631.0,74.0,381.0,208.0,116.0,324.0,57.0,324.0,105.0,202.0,307.0,17.0,114.0,26.0,82.0,108.0,6.0,149.0,119.0,30.0,2007
